,count
shirt,13
men,7
with,5
your,5
comfort,5
designed,4
comfortable,4
you,4
fabric,3
machine,3
children,3
favorite,3
quality,3
high,3
made,3
wide,3
running,3
material,3
breathable,3
not,3
soft,3
fit,3
wear,3
washable,3
